Fon,French
Afɔ tɔn gɛ́dɛ́,On ne sait pas ce qu’il fait.
Alɔglwɛ́glwɛ́ dó wɛ́ ɖè,Il fait des jeux de mains.
Ali nyɛ abɔ,Le chemin fait un coude.
Amù dó,Il fait du brouillard.
Aní ɖíe a dó sín è !,Qu’est-ce que tu as fait !
Anì wa wɛ a ɖè ?,Que fais-tu ?
Ani wɛ a wà ?,Qu’as-tu fait ?
Ani wɛ̀ Piɛ ka wà ?,Et qu’est-ce que Pierre a fait ?
Avivɔ gbɛ́,Il fait froid.
Ayì hɔ́n,Il fait jour.
Azɔ̀ è wa ɔ́ xwètɛ́ ă,Le travail que tu as fait n’est pas bien.
Azɔ tɛ a nɔ wa ?,Quel travail fais-tu ?
Azɔmɛvi ɔ ze wema tɔn na do wa azɔ tɔn,L’élève prend son livre pour faire son devoir.
Bo na do wa etɛ ?,Pourquoi faire ?
Bó ná wà étɛ́ ná ?,Pour quoi faire ?
Dɔnk nu ɖebu ɖe ɖo xwe ɔ gbe bɔ ye na blo ɔ…,Donc n’importe quoi qui se trouve à la maison et qu’ils auront à faire…
Din ɔ xujigbigbɔn nyɔ nu mi hu,"Maintenant, je préfère faire du surf."
É bló ɖó ganjí,Il a bien fait.
E blo fataa tɔn,Il l'a fait gratuitement.
É bló sun atɔn bɔ un bɛ́ azɔ́ ɖo finɛ,Ça fait trois mois que j'ai commencé là.
E dó zĭn,Il a fait le singe.
E ɖú mì ă,Qu'est-ce que cela peut me faire ?
E gúdá d’é wú ganjí ă,Il n’a pas bien fait le mélange.
E hùn káká yì gɔ̆n tɔ̀n,Il a fait l’impossible pour aller chez lui.
E hwɛ́n nukún cé mɛ̀,Ça me fait rire.
É hwɛ́n tó cè,Ca me fait rire.
E má ná bló à cé ?,Est-ce qu’il ne le fera pas ?
E na blo,Il fera.
E ná gbe we ɖɔ̀ a ni bló à ?,T'a-t-il permis de le faire ?
E nɔ́ ɖɔ̀ vĭ,Il fait l'enfant.
E nɔ́ gé nù dín,Il ne fait pas bien son travail.
E nyɔ ganji !,Ça a été bien fait !
E sɔ́ éɖéé hwè,Il s’est fait petit.
E sɔxú wà mɔ̆,Peut-être le fera-t-il.
Etɛ́ a na bló ná ?,Que vas-tu en faire ?
Etɛ́ a na wá ná,Que vas-tu en faire?
Etɛ e nɔ blo ?,Qu'est-ce qu'il fait?
Etɛ mi nɔ blo ?,Qu'est-ce que vous faites ?
Etɛ nɔ towe nɔ blo ?,Que fait ta mère ?
Etɛ́ un ná wà ?,Que vais-je faire ?
Etɛ un wa nu mi ?,Qu'est-ce que je vous ai fait ?
Etɛ ye nɔ blo ?,Qu'est-ce qu'ils font ?
Fí tɛ́ wɛ̀ vɛ́ nú mí dó ?,Qu’est-ce que cela peut me faire ?
Gbɛmɛ zawe,Il fait beau.
"Hwɛ lo, etɛ a nɔ blo?","Et toi, que fais-tu ?"
Jì kɛ́ wùn,Il a fait des éclairs.
Kpé sìn nú vì ɔ́,Fais boire l’enfant.
Ma sɔ́ bló ɖè ó,Ne le fais plus.
Măwù ló bló ɖagbe nú wè,Que Dieu te fasse du bien.
Mɔ̀ jɛ́n nyɛ nɔ wà,C'est ainsi que je fais.
Mi blo ganji,Faites le bien.
"Mi ɖe lɛ lo, etɛ mi nɔ blo ?","Et vous, qu'est-ce que vous faites ?"
Nɛ̆ a nă wa gbɔ̀n ?,Comment vas-tu faire ?
Nɛ̆ un ná bló gbɔ̀n ?,Que vais-je faire ?
Nɛ̀ wɛ́ bló gbɔ̀n ?,Que fait-il ?
Nù tɛ́ a na bló ná ?,Qu'en feras-tu ?
Nùɖé má wà,Sans rien faire.
Nuɖe un blo ɔ nɛ !,C'est ce que j'ai fait !
Nuɖe un nɔ blo ɔ nɛ,C'est ce que je fais.
Syɛń wŭ bó bló,Tâche de le faire.
Tɛnkpɔn bo wa xwe gbe cobɔ nu zan ni ku,Essaie de rentrer avant qu'il ne fasse nuit.
Tomɛ nyɔ́ à ?,As-tu fait bon voyage ?
Un blo ɖo azɔmɛ,J’en avais fait à l’école.
Un blo nɛ́,Je l’ai fait.
Un kɛ nu d'é jí n'í,Je lui ai fait la remarque.
Un kpɔ́n nŭ a blo ɔ́,J'ai regardé ce que tu as fait.
Un ma bló nɛ́,Je ne l’ai pas fait.
Un mɔ wlɛnwín è nà dó bló ná é ă,Je n'ai pas trouvé le moyen de le faire.
Un na blo,Je ferai.
Un sì bló ă,Je ne peux pas le faire.
Un sìxú bló ă,Je ne puis le faire.
Un wà nŭ bĭ có é gló,"J'ai tout fait, mais c'est raté."
Yă wŭ bló,Fais vite.
Yè nà bló,Ils feront.
Zăn ɖò kúkú wɛ̀ vlivlì,Il fait presque nuit.
E sɔxú wà mɔ̆,Il se peut qu’il le fasse.
Lan ɔ hwán,La viande est faisandée.
É vɔ́ séé,C’est tout à fait fini.
É wé foò,Il est tout à fait blanc.
Kú dó nù wá mɛ,Salut pour la chose faite à la personne.
Un gbo e dó,Je l'ai pris sur le fait.
Un hɛ̀n kpó alɔ kpó,Je l'ai pris sur le fait.
A blŏ lè é jɛ́ xá gbɔ́n ɔ́ ă,Tu n'as pas fait comme il faut.
A ɖo na wá,Il faut que tu viennes.
A ɖo na yi,Il faut que tu partes.
A na o ɖɔ nu mi !,Il fallait me le dire !
E ɖo na yi,Il faut qu'il parte.
Etɛ wutu e ɖo na si mɛ ?,Pourquoi faut-il être sage ?
Ganxuxo nabí mɔ̆ a ka na zán d’é wú ?,Combien de temps te faudra-t-il ?
Gbɛtɔ́ titewungbè,Un homme comme il faut.
Kpɔ́n jɛ́n un na yí kpɔ́n ɛ̀,Il va bien falloir que j’aille le voir.
Un ɖo na gosin fi,Il faut que je parte d'ici.
Akwɛ́ nabi wɛ́ hú dó wè ?,Combien d'argent te faudra-t-il ?
Un gbɛ́ hà tówé bĭ,Je refuse complètement ta familiarité.
Azɔ̀ élɔ́ ná má wè,Ce travail te deviendra familier.
E má dó mì,Cela m’est familier.
E má mì,Cela m'est devenu familier.
E má xá mì,Cela m’est familier.
E má xá mì,Cela m'est devenu familier.
Mì há,Nous sommes familiers.
Nyɛ kpò é kpó há sɔ̀ mɔ̆ ă,Moi et lui ne sommes pas si familiers.
Nyɛ kpódó hwi kpó cyán ă,Nous ne sommes pas des familiers (Nous n’avons pas gardé les vaches ensemble).
Un há x'ɛ́,Je suis familier avec lui.
Un nyí hà x’ɛ́,Je suis familier avec lui.
Xwé élɔ́ má wè,Tu es familier de cette maison.
Dăwe élɔ́ nɔ́ jló nú mɛ ɖé líyá è ă,Cet homme désire que personne ne l’approche familièrement.
E nɔ́ bà hă mì,Il me traite trop familièrement.
E nɔ hɛ̀n nù ɖĕbŭ yì mɛ ɖĕvo hɛ̀nnú mɛ̀ ă,On n'emporte rien d'une famille dans l'autre.
E zun hɛnnu,Il a insulté la famille.
"Ɛɛn, akɔ ce ɖo ganji","Oui, ma famille va bien."
Gbè yètɔ́n ɖò kpɔ́ ɖò hɛ̀nnú ɔ́ mɛ̀ ă,Ils se sont désunis dans la famille.
Hɛ̆n ɖokpó ɔ́ nú wɛ̀ mì jɔ̀ sín,Nous sommes de la même famille.
Hɛ̀nnú ɖokpó ɔ́ mɛ́ nú wɛ̀ mì nyí,Nous sommes de la même famille.
Hɛ̀nnúmɔ́ cé wɛ̀,Nous sommes de la même famille.
Mɛ ce lɛ,Ma famille.
Yè ɖóɖó wɛ̀,Ils sont de la même famille.
Adɔ tɔ́n,Il y a eu la famine.
Adɔ wá,Il y a eu la famine.
Adɔ wá,La famine est venue.
Folo lɛ ɖo kuku wɛ ɖo zɛn ɔ mɛ,Les fleurs se fanent dans le vase.
É ɖò glagla bló wɛ̀,Il fait le fanfaron.
É ɖò glàglà ɖú wɛ̀,Il fait le fanfaron.
Hanglan kún wɛ̀ yé ɖè,Ils font les fanfarons.
Wĭwì ja !,Le fantôme arrive !
Yè vɛ́ dó ɖɔ̀ nù mɔ́ wɛ̀ émí ɖé sín,Ils croyaient qu’ils voyaient un fantôme.
Agban xwè kɔ̀ d’ákún nú mi,Vous ployez sous le fardeau.
Wă ɖìɖ’ɛ́,Viens l’aider à mettre son fardeau sur la tête.
Ye nɔ hɛn agban kpikpɛn,Ils portent un fardeau.
Zĕ agban hɛn wá,Apporte le fardeau.
Zlɔ̆n agban mì,Aide-moi à déposer mon fardeau.
A sá atínkɛ́n dó nukúnmɛ̀ ganjí,Tu es bien fardée.
Gali abokun tɔn,Farine de mil.
Linfín ɔ́ mɛ́,La farine est bien fine.
Linfín ɔ́ mɛ́ kpɔ́ɖɔ́kpɔ́ɖɔ́,La farine est pure et très fine.
Mɔ̀ w'ɛ́ ɖè,C'est la fatalité.
Mɔ̆ wɛ̀ e ɖo é nyì,C'est la fatalité.
Hwɛ kpodo nu ci kɔ kpo,Toi et la fatigue.
Lanme kú mì,Je suis accablé de fatigue.
Avuvɔ ɖo nu ci kɔ nu mi,La fièvre m'a fatigué.
É ci mì,Il me fatigue.
Nŭ cì kɔ̀ n’í,Il est fatigué.
Nŭ ci kɔ n’í dín,Il est très fatigué.
Nŭ ci kɔ nú mì,Je suis fatigué.
Nu ci ko nu mi ă ?,Êtes-vous fatigués ?
Nù cí mì,Je suis fatigué.
Nu enɛ nɔ ci ta mɛ nu ye,Cette chose les fatigue dans leur tête
Nù gbɛ́ dó mì,Je suis fatigué.
Nùɖúɖú nɛ́ kpéké kɔ̀ nú mì,Je suis fatigué de cette nourriture.
E ci kɔ̀ nú mì,Je suis fatigué.
E gbà acɛ cè,Il a commis une faute grave envers moi.
E sɔ́n wŭ cè ă,Ce n'est pas de ma faute.
E sin wutu tɔn ă,Ce n'est pas de sa faute.
Hwɛ ce wɛ̀ ă,Ce n'est pas de ma faute.
Hwi wú wɛ́ sín,C'est de ta faute.
Nɔ̀ví cé ná wá gódógódó,Mon frère viendra sans faute.
Un na wá jɛ́n wɛ̀,Je viendrai sans faute.
Zé hwɛ ce kɛ mì,Pardonne-moi mes fautes.
Daagbo ɖo amlɔ dɔ wɛ ɖo azinkpo tɔn mɛ,Grand-père dort dans son fauteuil.
Afɔɖenyido towe wɛ zɔ́n bɔ̀ a j’àyĭ,C’est ton faux pas qui a fait que tu as tombé.
É dó hwɛ agɔ̀,Il a fait un faux jugement.
É flɛ́ kɛ́n,Elle a fait une fausse couche.
E kɛ́n j’àyĭ,Elle a fait une fausse couche.
Kɛ́n j’àyĭ,Elle a fait une fausse couche.
Lŏko azangun nɔ ɖo te nú axi nɔ jɛ ɖò gùxɔ́’sá ă,"Si le grand roko est debout, le marché n’aura pas lieu sous le faux iroko."
Mɔ wɛ ă !,Faux !
Nugbo wɛ a,C’est faux.
Nùvú wɛ̀,C’est faux.
Un klɛ́n afɔ̀,J’ai fait un faux pas.
Dó fɛnkpá nú mí kpɔ́n,Interviens en ma faveur.
Fɛ́nú alɔkpa étɛ́ ká wɛ̀ ?,Quelle espèce de faveur est-ce ?
Xomɛ nɔ hun mì dó wutu tɔn tlala,Il a toute ma faveur.
Gbè cɛ́ n'í,La chasse lui a été favorable.
Dan dó nù n’i,Dan l’a favorisé d’une bonne chose.
Ajámácóóó nú mi !,Mes félicitations (cri de félicitations à un groupe de travailleurs). Réponse = Yabaɖaóóó !
Ajámácyó nú mi !,Mes félicitations !
Alɔ towe ɖíè !,Félicitations !
Kudido wɛ !,Félicitations !
Un do ku nu we !,Félicitations !
Un zé alɔ nú wè !,Félicitations !
Ajámácóóó nú mi !,Je vous félicite (cri de félicitations à un groupe de travailleurs). Réponse = Yabaɖaóóó !
Un kpa wè,Je te félicite.
Un zé alɔ nú wè,Je te félicite.
Yè sɔ́ alɔ n’í,Ils l’ont félicité.
Nyɔ̀nú lɛ́ nɔ́ bló mɔ̆,C'est très féminin.
Nyɔ̀nú wὲ,Il est de sexe féminin.
A na kplá asi towe wá,Tu viendras avec ta femme.
Asi ce,Ma femme.
"Ɛɛn, asi ce lɛ, ye ɖo ganji","Oui, mes femmes sont bien."
Gan ce sin asi nyɔ ɖɛkpɛ a,La femme de mon patron n'est pas belle.
Nɛ asi towe kpodo vi towe lɛ kpo fɔn gbɔn ?,Comment vont ta femme et tes enfants ?
Nyɔ̆nù dɛ̆ !,Cette femme !
Nyɔ̀nú élɔ́ nyɔ́ ɖɛkpɛ̀,Cette femme est jolie.
Piɛ ɖo asi ɖokpo kpodo vi atɔn,Pierre a une femme et trois enfants.
Un ɖo asi ă,Je n’ai pas de femme.
Agbàn ɔ̀ fɛ́n dó ɖó ɛnɛ̀,L’assiette s’est fendue en quatre morceaux.
Agbàn ɔ̀ fɛ́n dó ɛnɛ̀,L’assiette s’est fendue en quatre morceaux.
E fɛ́n,C’est fendu.
Wooó ɖò awɔntín ná fɛ́n agbanlín wɛ̀,L’harmattan est en train de fendre le nez de l’antilope (Il fait très froid).
E hɛn ɔ e na mɔ gbɔn flɛsɛɛ nu,On peut voir de la fenêtre.
Dò tówé dó xwì,Ton mur a une fente.
E gba avɔligan tɔn,Elle a cassé son fer à repasser.
Gan zozo élɔ́ myá hɛɛ̀,Ce fer chaud est porté au rouge.
E nɔ́ nyì kokló kpó lɛngbɔ́ kpó ɖò gle tɔn ta,Il élève des poulets et des cabris dans sa ferme.
É xwè gle tɔn ta,Il va à la ferme.
Wema ɖo susu,Le livre fermé.
É hɛ́n ɖó wɛcɛɛ̀ b’ɛ́ j’àyĭ,Il n’a pas tenu fermement et c’est tombé.
Hɛn syɛ́nsyɛ́n,Tiens fermement.
Un ɖì dódó,Je crois fermement.
Nùsúnnú ɔ́ hwán,La sauce a fermenté.
A su hɔn ɔ,Tu fermes la porte.
"Aɖò yɛhwe xa wɛ̀ hŭn, sú hɔn towè","Si tu pries, ferme ta porte."
Ahɔn tɔn sú,Sa fontanelle est fermée.
Bɔ̀ alɔ dó,Ferme la main.
Bɔ nu dó,Ferme la bouche.
E bɔ nu,Il a fermé la bouche.
E myɔ́ alɔ̀,Il a fermé la main.
E su alì,On a fermé le chemin.
E ze mi su hɔn ɔ na,Elle m'a fait fermer la porte.
Hɔn ɔ́ ɖò súsú,La porte est fermée.
Hɔngan lɛ nɔ su hɔn lɛ bo na do hwlɛn ye ɖe gan ɖo ajotɔ lɛ si,Les verrous ferment les portes pour se protéger des voleurs.
Mama ɖo hɔn ɔ su wɛ,Maman ferme la porte.
Mi ɖo hɔn ɔ su wɛ,On ferme la porte.
Myɔ̆ alɔ̀,Ferme la main.
Sú hɔn ɔ́,Ferme la porte.
Xwe nukun,Fermer l'œil.
Sɔnyitɔ sin sɔ ɖo atin ɔ,Le fermier attache le cheval à l’arbre.
Gbe ɖokpo wa su bɔ kɛntɔ dida ɖe lɛ wa tɔn ahwan gleta enɛ ɔ kpodo ɖe se kpɔ elɛ kpo,"Un jour, des ennemis féroces et sanguinaires attaquèrent le village de Boako, ainsi que tous les villages des environs."
Ayìkúngbán élɔ́ nɔ́ hwán nŭ,Cette terre est fertile.
Măwùsɛ́ntɔ́ titewungbe wɛ̀,C'est un chrétien fervent.
É ɖó yonu tanganaà,Il a de belles fesses.
E na gbà yonu n’í,On va lui donner une fessée.
Mi na ɖu xwe ɖaxo ɖokpo xwe elɔ mɛ,Nous ferons une grande fête cette année.
Mi ni ɖo akwɛ bo na ɖu xwe na,Que nous ayons de l'argent pour la fête.
Páskwa xwe ɖò sisɛ yá wɛ̀,La fête de Pâques est proche.
"Ví lɛ, mi ɖu xwe ganji","Les enfants, fêtez bien."
Yĕ ɖò xwe ɖu wɛ̀,Ils sont en train de fêter.
Yĕ ɖu xwe nú mì,Ils m’ont fêté.
E wlí zò,Il a pris feu.
E xɔ zò,Il a pris feu.
E ze zɛn ɖo ado ji,Elle a mis la marmite sur le feu.
Etɛ wutu e ɖo zo fiɖe ye nɔ nɔ ɔ ?,Pourquoi elle avait mis le feu à leur brousse ?
Myɔ elɔ,Ce feu.
Xɔ ɔ wlí myɔ̀,La case a pris feu.
Xò myɔ̀ cí,Eteins le feu.
Atin lɛ ɖo yeɖee bu wɛ kpodo ama kpo,Les arbres se couvrent de feuilles.
E ɖó tó wuma ɖɔhùn,Il a des oreilles larges comme des feuilles de wù (insulte).
É zɔ́n amà,Il a de nouvelles feuilles.
Un ɖo wemaxixa yɔyɔ ce lɛ hun kpɔn wɛ kpodo xomɛhunhun kpo,Je feuillette mes nouveaux livres de classe avec plaisir.
Zofinkplɔsun ɖo azan ko atɔɔn nukun atɔn,Février a vingt-huit jours.
Un ɖo xɔntɔn vivɛ kpɛɖe,J'ai peu d'amis fiables.
Enyi e tɔn xa asi tɔn gbɔn ɔ,S'il sortait avec sa fiancée.
Un ɖò xɔ́ntɔ́n mɛ́ xá mɛ ?,Je suis fiancé.
Un jló ná zùn xɔ́ntɔ́n xá wè,Je voudrais me fiancer à toi.
Un na blá nù élɔ́,Je vais ficeler le paquet.
Dadá cé xɔ̀ sɛ́da dukwi ɖokpó,Ma mère a acheté un fichu de soie.
Dadá cé xɔ̀ sέda dukwí ɖokpó,Ma grande soeur a acheté un fichu de soie.
"A jló ɖɔ̀ mì ní nɔ̀ gbejí, bó lɛ́ sɛ́n we kpódó awajíjɛ́ kpán",Tu veux que nous restions fidèles et que nous t’adorions avec joie.
Nɔ̀ gbejí nú akpá è a dó lɛ́ é bĭ,Sois fidèle à tes engagements.
"Sin hwenɛnu ɔ, e nɔ gbeta tɔn ji","Depuis, il est reste fidèle à sa promesse."
Yĕ nɔ̀ gbe ji nú Măwŭ,Ils demeurèrent fidèles à Dieu.
Ajotɔ́ baláwò ! Ole ! Ole !,Voleur fieffé ! Voleur ! Voleur !
"Dăwè élɔ́ ɔ́, ajotɔ́ agănlingan ɖésú wɛ̀",Cet homme est un fieffé voleur.
"Nyavi élɔ́ ɔ́, ajotɔ́ wòkógo wɛ̀",Ce garçon est un voleur fieffé.
E kpɔ̀ hú mĭ,C’est moins cher que de la fiente (C’est très bon marché).
É bló ɖɛkpɛ wŭ yè,Il a fait le fier à mon égard.
E jí ná,Il en est fier (de la moto qu’il va acheter).
Kinikíní nɔ́ gó,Le lion est fier.
Nŭ ɖaxó wɛ̀ a wà nú mì,Tu m'as rendu un fier service.
Un ɖò jiɖe dó wŭ tɔ̀n ă,Je ne m'y fie pas.
Xomɛ hun mi,Je suis fier.
Bo t’afɔ ayĭ bó xwé dó è bo tò gbɛ towe sɔ́ nyì nùkplɔnmɛ tɔn lɛ́ jí,Tu peux donc le suivre avec fierté et régler toute ta vie sur son enseignement.
Avivɔ ɖò sinsin mi wɛ̀,J’ai de la fièvre.
Un ɖo zozo,J’ai la fièvre.
Vì ɔ̀ nɔ́ súsɔ́ avivɔ kɛkɛkɛ̀,L’enfant tremble de fièvre.
Yɛ̀yɛ́ ɖò bìbí wɛ̀,Le bébé est brûlant de fièvre.
Vi ɔ́ da aklàn,Le kola a formé la figure aklàn.
Fɔ̀ avɔ lɛ́ sín kan ɔ́ mɛ̀,Enlève le linge du fil (à étendre le linge).
Kan ɔ́ bì hízí,Les fils sont embrouillés.
Kan ɔ wíní dín,Le fil est trop fin.
Zàn kú dó mì,J’ai perdu le fil de mon discours.
Feví ɔ́ dó dɛ̀ gblɛlɛɛ̀,Le gombo est très filant.
Etɛ́ wú a nɔ xwíɖá mì ?,Pourquoi est-ce que tu me files ?
Đɔ̀ yètɔ́n lɛ́ jɛ̀ tlɛ́ntlɛ́n jí,Leurs filets commençaient à se rompre.
Ye ka jó ɖɔ yetɔn lɛɛ dó trolo bo xwedó é,"Eux, aussitôt, laissant les filets, le suivirent."
Ze ɖɔ ɖ'ayi,Poser les filets.
E jì nyɔ̀núví,Elle a eu une fille.
"Nyɔnu mĭtɔn lɛ ɔ, e ɖesu ɖo ɖiɖɔ wɛ din","Nos filles, elles-mêmes disent."
Nyɔ̀núví atɔ̀n ɖè lɛ́ wɛ̀,Ce sont trois jeunes filles.
Nyɔnuvi elɔ !,Cette fille !
Xwe nabi vi mitɔn nyɔnu ɔ ɖo ?,Quel âge a votre fille ?
Yewunkɔnnyiɖowu ɖe tɛ mi kpɔn sɔ ɖe wa yi ɔ ?,Quel film avez-vous vu hier ?
É jì vĭ ɖokpó nú Kɔkú,Elle a donné un fils à Kokou.
Nɔ ɖokpó ɔ́ ví wɛ́ nú mi à ?,Etes-vous fils de la même mère ?
Nɔví cé sín vĭ wɛ,C’est le fils de mon frère.
Nù nɛ́ ɔ́ ɖé xlɛ́ ɖɔ̀ é nyí Măwù ví,Cela montre qu’il est le fils de Dieu.
Un gbɛ asi kpodo vi sunnu we kpo vi nyɔnu we kpo,Je suis divorcé avec deux fils et deux filles.
Vi ɔ ɖo ali ji,Le fils est sur le chemin.
Vĭ cè nukɔntɔn ɖíè,C'est mon fils aîné.
Mi ɖo kafe ɔ xwi wɛ,On filtre le café.
A na nɔ̀ fínɛ́ káká b'ɛ́ ná fó à ?,Resteras-tu jusqu'à la fin ?
Akwɛ́ nabí é nɔ́ ɖù ɖò sunzan fífó ?,Combien gagne-t-il à la fin du mois ?
Avɔ ɔ wɛ́ɖɛ́,Le tissu est fin.
Avɔ élɔ́ mɛ́,Ce tissu est fin.
Avɔ élɔ́ xwe kàn ganjí,Ce tissu est fin.
Awu ɔ fɛ́ɖɛ́,La chemise est fine.
Axɔ́súɖúɖú tɔ́n ká ná sú dó gbèɖé ă,Son règne n’aura pas de fin.
Ayihun sin fifo,La fin du jeu.
E xwè fúfónú,Cela touche à sa fin.
Fúfó azɔ̀ ɔ̀ tɔ́n ɖíè,Voici la fin de son travail.
Gbadɛndɛn ɖò funfun wɛ̀,Il tombe une pluie fine.
Káká yì,Jusqu'à la fin.
Káká yì fúfónu,Jusqu'à la fin.
Linfín kó mɛ́,La farine est bien fine.
Mĭ mɔ̀ xwè fúfó,Nous avons vu la fin de l’année.
Sunzan fífó ɔ́ un ná yì,Je partirai à la fin du mois.
Un na wá sunzán élɔ́ sín fífó,Je viendrai à la fin du mois.
Un na wá sunzán fúfó,Je viendrai à la fin du mois.
Wèmá élɔ́ kpɛ́cɛ́ dín,Ce papier est trop fin.
"Kú tɔ́n gúdó ɔ́, yè ká wá mɔ́ ɖɔ̀ é nyí Măwù ví nugbó","Finalement après sa mort, ils reconnaissent que c’est le fils de Dieu."
Azɔ vɔ,Le travail est fini.
Đà ɖó,C’est fini.
E kpò,Ce n’est pas fini.
E vɔ̀,C’est fini.
É vɔ bì séé,C’est complètement fini.
E w’àzɔ̀ fó,Il a fini le travail.
É wá wá,Il a fini par venir.
Ée é ɖɔ̀ mɔ̀ vɔ̀ ɔ́,Lorsqu’il fini de parler.
"Nú azɔ̀ tówé ná vɔ́ ɔ́, a na tɔ́n hwɛ̀n","Si ton travail est fini, tu t’en iras."
Un ɖu nu fo,J’ai fini de manger.
Un ko ɖù nŭ vɔ̀,J'ai fini de manger.
Un kpò ɖò nù ɖú wɛ̀,Je n’ai pas encore fini de manger.
Un na kó w’àzɔ̀ cé vɔ̀ có a na wá,J’aurai fini mon travail avant que tu viennes.
Un w’àzɔ̀ cé vɔ̀,J’ai fini un travail.
Xó fó,C’est fini.
Yè kó ɖù làn ɔ́ bó kɔ̀n xú,Ils ont fini de manger.
A ɖo azɔ towe fo wɛ,Tu finis ton devoir.
A fo azɔ towe,Tu finis ton devoir.
Azɔ mitɔn lɛ bi vɔ,Tous nos devoirs sont finis.
E kpò kpɛɖé sunzan élɔ́ ná fó,Ce mois va bientôt finir.
Ganxixo nabí a na dó fó azɔ̀ ɔ́ ná ?,Combien d’heures mettras-tu pour finir le travail ?
Jĭ ɖŏ tè,La pluie de la saison est finie.
Jĭ gbò,La pluie de la saison est finie.
Jò mí dó má w'azɔ̀ cé fó,Laisse-moi finir mon travail.
Mi ɖo azɔ mitɔn lɛ fo wɛ,Nous finissons nos devoirs.
Un ɖo ná fó wɛ,Je suis sur le point de finir.
É ɖó nukún kleteè,Il a un oeil fixe.
É ná gbeta,Il a donné une réponse fixe.
N'í ná gbeta,Qu'il donne une réponse fixe.
E wá azàn ɔ́ gbè,Il est venu au jour fixé.
É kpɔ́n mí dáán,Il m’a regardé fixement.
Ayi ce bì wɛ́ ɖò tɔ́ cé é ɖ’azɔn jɛ wɛ é wú xéé,Toute ma pensée est fixée sur mon père qui est malade.
É ɖó xwe’zán,Il a fixé le jour de la fête.
E gbá avɔ̀ ɖ'akɔ́nta,Elle a fixé son pagne sur la poitrine.
"Un sígàn ɖ'ázàn ă, un táá ɖó nuvú",Je ne puis fixer de jour de crainte de mentir.
"Un sìxú ná ɖ’ázăn ă, un táá ɖó nùvú",Je ne puis fixer le jour de peur de mentir.
É cyɔ́ dó vì tɔ́n jí,Il a pris son enfant en flagrant délit.
Un mɔ ɛ̀ ganaganà b’ɛ́ ɖò ajo ja wɛ̀,Je l’ai pris en flagrant délit de vol.
Un nɔ hwɛn nu kpodo awɔntin ce kpo,Je flaire avec le nez.
Fofó xɔ̀ mɔ̆tò yɔ̀yɔ́ cɔɔn ɖokpó,Le grand frère a acheté une voiture flambant neuve.
Yĕ bĭ hɛ̀n zohwín alɔ nu bo dó ɖò zàn dlɔ́ wɛ̀,Ils tiennent chacun en main un flambeau pour la veillée.
Nɛ̆ mĭ mɛ̀ gbɔ̆ gbɔ̀n bɔ̀ fún kpó ɖ’é wú ?,Comment avons-nous flambé le cabri et il reste encore des poils dessus ?
Xɛ́ alɔ nú myɔ́ tówè,Protège ta flamme (bougie).
É nɔ sà legéde,Il flâne.
Mi ɖo saɖi wɛ ɖo ali lɛ ji,Vous flânez dans les rues.
Anɔ̆ kplayaa wɛ̀ é ɖó,Elle a des seins flasques.
É ɖó anɔ̆kan kplayaà,Elle a des seins flasques.
É klɔ́ tomɛnu lɛ́ bĭ bɔ̀ yĕ bì fɔ́n gŭ dó axɔ́sú jí,Il flattait tous les habitants et ils se révoltèrent contre le roi.
Ye nɔ nya gbe kpodo kpovi kpikpa kpo,Ils font la chasse avec de petites lances et des flèches.
Atín ɔ́ mlú amà,L’arbre a des feuilles flétries.
É ɖó anɔ̆ yajaà,Elle a des seins flétris.
Nyɔnu nyla we ɖu bo ɖo nu anɔkan,Une femme danse mal et prétend que ses seins flétris en sont la cause.
Kpasatin lɛ bi ɖo foloo mɛ,Tous les baobabs sont en fleur.
Mɛ ɖe ɖo akpa ce ɔ ɖo folo ɖo flɛsɛɛ tɔn nu,Mon voisin a des fleurs à sa fenêtre.
"Un mɔ folo kpɛvi ɖokpo, e nyɔ ɖɛkpɛ din","J'ai trouvé une petite fleur, elle est si jolie."
Aziín lɛ́ jɛ̀ sɛ́ wlí jí,Les arachides sont en train de fleurir.
Tɔ ɔ́ ɖiɖi wɛ̀,Le fleuve est en crue.
Tɔ ɔ tò,Le bord du fleuve.
Tɔsisa Bɛnɛ tɔn lɛ,Les fleuves du Bénin.
Un ɖo tɔ to,Je suis au bord du fleuve.
É ɖò acɔ́ ɖó x’ɛ́ wɛ̀,Il flirte avec elle.
E ɖò he ɖó x’ɛ́ wɛ̀,Il flirte avec elle.
Fɔtó ɔ́ cí fitiì,La photo est floue.
Fɔtó tɔ́n cí fitiì,Sa photo est floue.
É sɔ́ kpɛn tɔ̀n bó jɛ̀ kúnkún jí,Il a pris sa flûte et s’est mis à jouer.
A jà ɖĕvo hŭn,La prochaine fois que tu viendras.
A sɔ wa xwegbe azɔn ɖokpo do xwe atɔɔn mɛ à,Tu n'es pas revenu à la maison une seule fois en cinq ans.
Azɔ̀n ɖĕvo,Une autre fois.
Azɔ̀n mɔ̀kpán,Plusieurs fois.
Azɔ̀n nabíɖé,Plusieurs fois.
Azɔn nukɔntɔ̀n,Première fois.
"Azɔn we ɖo azan tɛnwe lɛ mɛ ɔ, un nɔ yi kpɔn nu","Deux fois par semaine, je vais au cinéma."
E ná yì azɔn ɛnɛ mɔ̆,Ca fait environ quatre fois.
